    10>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.lab\bitset\bitset.cpp(70,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\bitset\bitset.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.lab\bitset\bitset.cpp(86,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\bitset\bitset.vcxproj]
    10>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.lab\bitset\bitset.cpp(102,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\bitset\bitset.vcxproj]
    28>C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\xutility(5043,24): warning C4244: '=': conversion from 'const _Ty' to 'float', possible loss of data [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\xutility(5043,24): warning C4244:         with [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\xutility(5043,24): warning C4244:         [ [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\xutility(5043,24): warning C4244:             _Ty=int [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
C:\Program Files\Microsoft Visual Studio\2022\Community\VC\Tools\MSVC\14.38.33130\include\xutility(5043,24): warning C4244:         ] [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
    28>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.lab\dynarr\dynarr.cpp(46): warning C4715: 'DynArr::operator=': not all control paths return a value [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\dynarr\dynarr.vcxproj]
    42>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805: '==': unsafe mix of type 'const L' and type 'const R' in operation [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         with [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         [ [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:             L=int [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
